date	actual_mean_temp	actual_min_temp	actual_max_temp	average_min_temp	average_max_temp	record_min_temp	record_max_temp	record_min_temp_year	record_max_temp_year	actual_precipitation	average_precipitation	record_precipitation	city	city_code	city_full
7/1/2014	76	66	86	66	85	48	97	1885	1970	0.13	0.16	5.09	Indianapolis	IND	Indianapolis, IN
7/2/2014	71	63	79	66	85	50	99	1904	1970	0	0.16	4.5	Indianapolis	IND	Indianapolis, IN
7/3/2014	67	60	73	66	85	49	100	1968	1911	0	0.15	1.89	Indianapolis	IND	Indianapolis, IN
7/4/2014	67	54	79	66	85	48	103	1968	1911	0	0.15	2.4	Indianapolis	IND	Indianapolis, IN
7/5/2014	69	59	79	66	85	49	103	1972	2012	0	0.16	3.27	Indianapolis	IND	Indianapolis, IN
7/6/2014	74	64	83	66	85	48	105	2001	2012	0.03	0.15	1.64	Indianapolis	IND	Indianapolis, IN
7/7/2014	74	68	79	66	85	54	105	1894	2012	0	0.16	4.43	Indianapolis	IND	Indianapolis, IN
7/8/2014	74	67	81	66	85	51	104	1984	1936	0.32	0.16	2.6	Indianapolis	IND	Indianapolis, IN
7/9/2014	72	62	81	66	85	52	103	1952	1936	0	0.16	2.49	Indianapolis	IND	Indianapolis, IN
7/10/2014	71	61	80	66	85	50	105	1963	1936	0	0.16	1.52	Indianapolis	IND	Indianapolis, IN
7/11/2014	71	60	81	66	85	52	104	1945	1936	0	0.16	2.49	Indianapolis	IND	Indianapolis, IN
7/12/2014	74	67	80	66	85	53	103	1975	1936	0.07	0.16	2.7	Indianapolis	IND	Indianapolis, IN
7/13/2014	78	72	84	66	85	49	103	1976	1936	0	0.17	2.78	Indianapolis	IND	Indianapolis, IN
7/14/2014	75	65	85	66	85	48	106	1975	1936	0.39	0.16	2.96	Indianapolis	IND	Indianapolis, IN
7/15/2014	64	56	71	66	85	51	103	1967	1988	0	0.17	2.05	Indianapolis	IND	Indianapolis, IN
7/16/2014	63	53	72	66	85	49	98	1945	1988	0	0.15	2.32	Indianapolis	IND	Indianapolis, IN
7/17/2014	65	53	77	66	85	51	101	1976	2012	0	0.15	3.71	Indianapolis	IND	Indianapolis, IN
7/18/2014	68	57	78	66	85	51	100	1976	1954	0	0.15	2.61	Indianapolis	IND	Indianapolis, IN
7/19/2014	68	58	77	66	85	50	98	1984	1930	0	0.14	1.31	Indianapolis	IND	Indianapolis, IN
7/20/2014	71	60	81	66	85	49	103	1947	1934	0	0.13	4	Indianapolis	IND	Indianapolis, IN
7/21/2014	74	62	85	66	85	46	106	1944	1934	0	0.14	1.89	Indianapolis	IND	Indianapolis, IN
7/22/2014	78	67	88	66	85	49	106	1947	1901	0	0.14	1.82	Indianapolis	IND	Indianapolis, IN
7/23/2014	69	62	76	66	85	46	102	1947	1934	1.61	0.14	1.61	Indianapolis	IND	Indianapolis, IN
7/24/2014	67	58	76	66	85	52	105	1947	1934	0	0.14	1.98	Indianapolis	IND	Indianapolis, IN
7/25/2014	65	56	74	66	85	51	105	1911	1934	0	0.13	2.61	Indianapolis	IND	Indianapolis, IN
7/26/2014	75	67	82	66	85	51	98	1911	1941	0.1	0.13	2.41	Indianapolis	IND	Indianapolis, IN
7/27/2014	76	66	85	66	85	51	100	1962	1916	0.22	0.12	1.86	Indianapolis	IND	Indianapolis, IN
7/28/2014	65	57	73	66	85	51	101	2013	1930	0	0.12	2.95	Indianapolis	IND	Indianapolis, IN
7/29/2014	64	52	75	66	85	51	100	1881	1941	0.21	0.13	0.8	Indianapolis	IND	Indianapolis, IN
