date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation,city,city_code,city_full
7/1/2014,76,66,86,66,85,48,97,1885,1970,0.13,0.16,5.09,Indianapolis,IND,"Indianapolis, IN"
7/2/2014,71,63,79,66,85,50,99,1904,1970,0,0.16,4.5,Indianapolis,IND,"Indianapolis, IN"
7/3/2014,67,60,73,66,85,49,100,1968,1911,0,0.15,1.89,Indianapolis,IND,"Indianapolis, IN"
7/4/2014,67,54,79,66,85,48,103,1968,1911,0,0.15,2.4,Indianapolis,IND,"Indianapolis, IN"
7/5/2014,69,59,79,66,85,49,103,1972,2012,0,0.16,3.27,Indianapolis,IND,"Indianapolis, IN"
7/6/2014,74,64,83,66,85,48,105,2001,2012,0.03,0.15,1.64,Indianapolis,IND,"Indianapolis, IN"
7/7/2014,74,68,79,66,85,54,105,1894,2012,0,0.16,4.43,Indianapolis,IND,"Indianapolis, IN"
7/8/2014,74,67,81,66,85,51,104,1984,1936,0.32,0.16,2.6,Indianapolis,IND,"Indianapolis, IN"
7/9/2014,72,62,81,66,85,52,103,1952,1936,0,0.16,2.49,Indianapolis,IND,"Indianapolis, IN"
7/10/2014,71,61,80,66,85,50,105,1963,1936,0,0.16,1.52,Indianapolis,IND,"Indianapolis, IN"
7/11/2014,71,60,81,66,85,52,104,1945,1936,0,0.16,2.49,Indianapolis,IND,"Indianapolis, IN"
7/12/2014,74,67,80,66,85,53,103,1975,1936,0.07,0.16,2.7,Indianapolis,IND,"Indianapolis, IN"
7/13/2014,78,72,84,66,85,49,103,1976,1936,0,0.17,2.78,Indianapolis,IND,"Indianapolis, IN"
7/14/2014,75,65,85,66,85,48,106,1975,1936,0.39,0.16,2.96,Indianapolis,IND,"Indianapolis, IN"
7/15/2014,64,56,71,66,85,51,103,1967,1988,0,0.17,2.05,Indianapolis,IND,"Indianapolis, IN"
7/16/2014,63,53,72,66,85,49,98,1945,1988,0,0.15,2.32,Indianapolis,IND,"Indianapolis, IN"
7/17/2014,65,53,77,66,85,51,101,1976,2012,0,0.15,3.71,Indianapolis,IND,"Indianapolis, IN"
7/18/2014,68,57,78,66,85,51,100,1976,1954,0,0.15,2.61,Indianapolis,IND,"Indianapolis, IN"
7/19/2014,68,58,77,66,85,50,98,1984,1930,0,0.14,1.31,Indianapolis,IND,"Indianapolis, IN"
7/20/2014,71,60,81,66,85,49,103,1947,1934,0,0.13,4,Indianapolis,IND,"Indianapolis, IN"
7/21/2014,74,62,85,66,85,46,106,1944,1934,0,0.14,1.89,Indianapolis,IND,"Indianapolis, IN"
7/22/2014,78,67,88,66,85,49,106,1947,1901,0,0.14,1.82,Indianapolis,IND,"Indianapolis, IN"
7/23/2014,69,62,76,66,85,46,102,1947,1934,1.61,0.14,1.61,Indianapolis,IND,"Indianapolis, IN"
7/24/2014,67,58,76,66,85,52,105,1947,1934,0,0.14,1.98,Indianapolis,IND,"Indianapolis, IN"
7/25/2014,65,56,74,66,85,51,105,1911,1934,0,0.13,2.61,Indianapolis,IND,"Indianapolis, IN"
7/26/2014,75,67,82,66,85,51,98,1911,1941,0.1,0.13,2.41,Indianapolis,IND,"Indianapolis, IN"
7/27/2014,76,66,85,66,85,51,100,1962,1916,0.22,0.12,1.86,Indianapolis,IND,"Indianapolis, IN"
7/28/2014,65,57,73,66,85,51,101,2013,1930,0,0.12,2.95,Indianapolis,IND,"Indianapolis, IN"
7/29/2014,64,52,75,66,85,51,100,1881,1941,0.21,0.13,0.8,Indianapolis,IND,"Indianapolis, IN"
7/30/2014,68,57,78,66,84,51,103,1965,1940,0.02,0.13,1.63,Indianapolis,IND,"Indianapolis, IN"
7/31/2014,70,59,80,66,84,49,98,1895,1913,0,0.12,2.84,Indianapolis,IND,"Indianapolis, IN"
8/1/2014,72,61,82,65,84,53,97,1971,1887,0.01,0.11,2.86,Indianapolis,IND,"Indianapolis, IN"
8/2/2014,73,63,82,65,84,52,98,1927,1888,0,0.11,2.53,Indianapolis,IND,"Indianapolis, IN"
8/3/2014,73,61,84,65,84,50,98,1965,1897,0,0.11,1.72,Indianapolis,IND,"Indianapolis, IN"
8/4/2014,74,62,85,65,84,49,99,1912,1887,0,0.1,3.81,Indianapolis,IND,"Indianapolis, IN"
8/5/2014,73,65,81,65,84,51,103,1974,1918,0,0.1,1.65,Indianapolis,IND,"Indianapolis, IN"
8/6/2014,71,63,79,65,84,50,99,1994,1918,0,0.11,4.46,Indianapolis,IND,"Indianapolis, IN"
8/7/2014,71,64,78,65,84,49,98,1989,1930,0,0.1,1.08,Indianapolis,IND,"Indianapolis, IN"
8/8/2014,70,65,74,65,84,48,98,1989,2012,0.03,0.09,1.51,Indianapolis,IND,"Indianapolis, IN"
8/9/2014,76,68,83,65,84,50,99,1884,1930,0,0.1,2.36,Indianapolis,IND,"Indianapolis, IN"
8/10/2014,77,70,84,65,84,50,99,1972,1911,0.13,0.1,1.25,Indianapolis,IND,"Indianapolis, IN"
8/11/2014,75,68,82,65,84,52,99,1967,1941,0.1,0.09,2.07,Indianapolis,IND,"Indianapolis, IN"
8/12/2014,65,58,71,65,84,47,101,2004,1881,0,0.1,1.93,Indianapolis,IND,"Indianapolis, IN"
8/13/2014,67,55,79,65,84,48,98,1964,1936,0,0.09,3.08,Indianapolis,IND,"Indianapolis, IN"
8/14/2014,70,59,81,65,84,48,95,1964,1871,0,0.09,2.72,Indianapolis,IND,"Indianapolis, IN"
8/15/2014,63,49,77,65,84,45,96,1979,2010,0,0.1,2.26,Indianapolis,IND,"Indianapolis, IN"
8/16/2014,67,59,75,65,84,50,102,1979,1988,0.09,0.1,1.43,Indianapolis,IND,"Indianapolis, IN"
8/17/2014,73,65,81,65,84,52,99,1963,1988,0.03,0.11,3.18,Indianapolis,IND,"Indianapolis, IN"
8/18/2014,76,65,86,65,84,48,98,1963,1936,0,0.11,1.61,Indianapolis,IND,"Indianapolis, IN"
